,created_at,neg,neu,pos,label
272,2019-11-23 23:44:59+00:00,0.112,0.888,0.0,28.9
273,2019-11-23 23:44:41+00:00,0.112,0.888,0.0,28.9
274,2019-11-23 23:44:40+00:00,0.112,0.888,0.0,28.9
275,2019-11-23 23:43:34+00:00,0.112,0.888,0.0,28.9
276,2019-11-23 23:43:21+00:00,0.112,0.888,0.0,28.9
277,2019-11-23 23:42:25+00:00,0.215,0.579,0.207,28.9
278,2019-11-23 23:41:57+00:00,0.112,0.888,0.0,28.9
279,2019-11-23 23:41:36+00:00,0.0,1.0,0.0,28.9
280,2019-11-23 23:41:11+00:00,0.112,0.888,0.0,28.9
281,2019-11-23 23:40:58+00:00,0.112,0.888,0.0,28.9
282,2019-11-23 23:40:34+00:00,0.0,1.0,0.0,28.9
283,2019-11-23 23:40:20+00:00,0.112,0.888,0.0,28.9
284,2019-11-23 23:39:55+00:00,0.112,0.888,0.0,28.9
285,2019-11-23 23:39:22+00:00,0.112,0.888,0.0,28.9
286,2019-11-23 23:39:05+00:00,0.112,0.888,0.0,28.9
287,2019-11-23 23:37:31+00:00,0.112,0.888,0.0,28.9
288,2019-11-23 23:37:18+00:00,0.112,0.888,0.0,28.9
289,2019-11-23 23:37:05+00:00,0.112,0.888,0.0,28.9
290,2019-11-23 23:36:38+00:00,0.112,0.888,0.0,28.9
291,2019-11-23 23:35:58+00:00,0.0,1.0,0.0,28.9
292,2019-11-23 23:35:56+00:00,0.0,1.0,0.0,28.9
293,2019-11-23 23:35:54+00:00,0.215,0.579,0.207,28.9
294,2019-11-23 23:35:50+00:00,0.0,0.8,0.2,28.9
295,2019-11-23 23:35:46+00:00,0.112,0.888,0.0,28.9
296,2019-11-23 23:35:19+00:00,0.0,1.0,0.0,28.9
297,2019-11-23 23:35:05+00:00,0.112,0.888,0.0,28.9
298,2019-11-23 23:34:44+00:00,0.112,0.888,0.0,28.9
299,2019-11-23 23:34:41+00:00,0.112,0.888,0.0,28.9
300,2019-11-23 23:34:14+00:00,0.112,0.888,0.0,28.9
301,2019-11-23 23:34:03+00:00,0.112,0.888,0.0,28.9
302,2019-11-23 23:33:12+00:00,0.112,0.888,0.0,28.9
303,2019-11-23 23:33:08+00:00,0.112,0.888,0.0,28.9
304,2019-11-23 23:32:27+00:00,0.0,1.0,0.0,28.9
305,2019-11-23 23:32:15+00:00,0.112,0.888,0.0,28.9
306,2019-11-23 23:31:45+00:00,0.112,0.888,0.0,28.9
307,2019-11-23 23:31:41+00:00,0.112,0.888,0.0,28.9
308,2019-11-23 23:31:31+00:00,0.215,0.579,0.207,28.9
309,2019-11-23 23:30:33+00:00,0.215,0.579,0.207,28.9
310,2019-11-23 23:30:33+00:00,0.112,0.888,0.0,28.9
311,2019-11-23 23:30:02+00:00,0.112,0.888,0.0,28.9
312,2019-11-23 23:29:48+00:00,0.215,0.579,0.207,28.9
